date,value
1947-03-31,4.718
1947-06-30,4.585
1947-09-30,4.709
1947-12-31,4.383
1948-03-31,4.714
1948-06-30,4.504
1948-09-30,4.396
1948-12-31,4.825
1949-03-31,4.426
1949-06-30,3.761
1949-09-30,3.469
1949-12-31,3.236
1950-03-31,3.544
1950-06-30,4.292
1950-09-30,4.566
1950-12-31,5.506
1951-03-31,5.073
1951-06-30,5.55
1951-09-30,6.089
1951-12-31,5.964
1952-03-31,5.965
1952-06-30,6.538
1952-09-30,5.517
1952-12-31,5.696
1953-03-31,6.262
1953-06-30,6.655
1953-09-30,6.944
1953-12-31,6.999
1954-03-31,6.984
1954-06-30,6.956
1954-09-30,7.326
1954-12-31,6.934
1955-03-31,6.466
1955-06-30,6.891
1955-09-30,7.391
1955-12-31,8.261
1956-03-31,8.088
1956-06-30,8.551
1956-09-30,9.363
1956-12-31,9.374
1957-03-31,9.581
1957-06-30,9.544
1957-09-30,9.791
1957-12-31,9.584
1958-03-31,8.675
1958-06-30,8.2
1958-09-30,7.838
1958-12-31,8.132
1959-03-31,8.404
1959-06-30,8.295
1959-09-30,8.407
1959-12-31,8.992
1960-03-31,9.234
1960-06-30,9.935
1960-09-30,9.339
1960-12-31,8.993
1961-03-31,8.397
1961-06-30,8.686
1961-09-30,8.735
1961-12-31,9.386
1962-03-31,9.404
1962-06-30,9.529
1962-09-30,9.182
1962-12-31,8.895
1963-03-31,9.386
1963-06-30,9.834
1963-09-30,10.288
1963-12-31,10.599
1964-03-31,10.827
1964-06-30,10.885
1964-09-30,11.501
1964-12-31,12.52
1965-03-31,12.732
1965-06-30,13.332
1965-09-30,14.162
1965-12-31,14.496
1966-03-31,15.06
1966-06-30,16.117
1966-09-30,16.52
1966-12-31,16.903
1967-03-31,17.266
1967-06-30,17.077
1967-09-30,16.41
1967-12-31,16.925
1968-03-31,17.332
1968-06-30,17.096
1968-09-30,17.059
1968-12-31,17.628
1969-03-31,18.348
1969-06-30,18.798
1969-09-30,19.512
1969-12-31,19.545
1970-03-31,20.296
1970-06-30,20.281
1970-09-30,20.523
1970-12-31,20.034
1971-03-31,19.235
1971-06-30,19.125
1971-09-30,19.4
1971-12-31,20.072
1972-03-31,20.009
1972-06-30,21.019
1972-09-30,21.929
1972-12-31,22.682
1973-03-31,23.671
1973-06-30,25.444
1973-09-30,26.662
1973-12-31,28.318
1974-03-31,29.323
1974-06-30,30.405
1974-09-30,31.233
1974-12-31,31.674
1975-03-31,30.543
1975-06-30,30.935
1975-09-30,31.726
1975-12-31,32.111
1976-03-31,33.292
1976-06-30,33.805
1976-09-30,34.263
1976-12-31,35.124
1977-03-31,36.849
1977-06-30,37.774
1977-09-30,40.415
1977-12-31,42.733
1978-03-31,44.284
1978-06-30,46.855
1978-09-30,49.294
1978-12-31,50.488
1979-03-31,54.136
1979-06-30,54.875
1979-09-30,56.194
1979-12-31,59.415
1980-03-31,60.258
1980-06-30,59.837
1980-09-30,60.106
1980-12-31,62.765
1981-03-31,63.986
1981-06-30,65.062
1981-09-30,66.247
1981-12-31,66.645
1982-03-31,64.59
1982-06-30,63.914
