date,value
1939-03-31,
1939-06-30,
1939-09-30,
1939-12-31,
1940-03-31,
1940-06-30,
1940-09-30,
1940-12-31,
1941-03-31,
1941-06-30,
1941-09-30,
1941-12-31,
1942-03-31,
1942-06-30,
1942-09-30,
1942-12-31,
1943-03-31,
1943-06-30,
1943-09-30,
1943-12-31,
1944-03-31,
1944-06-30,
1944-09-30,
1944-12-31,
1945-03-31,
1945-06-30,
1945-09-30,
1945-12-31,
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,
1947-03-31,40.274
1947-06-30,40.138
1947-09-30,39.361
1947-12-31,39.534
1948-03-31,40.875
1948-06-30,42.884
1948-09-30,44.66
1948-12-31,46.603
1949-03-31,48.585
1949-06-30,50.381
1949-09-30,50.356
1949-12-31,49.91
1950-03-31,48.956
1950-06-30,49.643
1950-09-30,49.746
1950-12-31,53.713
1951-03-31,62.033
1951-06-30,69.821
1951-09-30,78.046
1951-12-31,83.314
1952-03-31,84.998
1952-06-30,88.987
1952-09-30,90.931
1952-12-31,93.418
1953-03-31,95.764
1953-06-30,97.925
1953-09-30,96.622
1953-12-31,96.747
1954-03-31,94.831
1954-06-30,92.534
1954-09-30,91.148
1954-12-31,91.356
1955-03-31,91.869
1955-06-30,92.533
1955-09-30,94.099
1955-12-31,93.331
1956-03-31,94.848
1956-06-30,98.247
1956-09-30,98.279
1956-12-31,101.345
1957-03-31,105.342
1957-06-30,105.842
1957-09-30,107.405
1957-12-31,110.062
1958-03-31,109.843
1958-06-30,113.624
1958-09-30,115.093
1958-12-31,117.992
1959-03-31,117.195
1959-06-30,118.535
1959-09-30,119.492
1959-12-31,118.608
1960-03-31,116.951
1960-06-30,118.38
1960-09-30,122.419
1960-12-31,124.33
1961-03-31,126.218
1961-06-30,127.254
1961-09-30,129.961
1961-12-31,133.516
1962-03-31,137.107
1962-06-30,138.426
1962-09-30,142.052
1962-12-31,143.562
1963-03-31,143.724
1963-06-30,144.132
1963-09-30,149.927
1963-12-31,150.989
1964-03-31,152.554
1964-06-30,154.314
1964-09-30,156.033
1964-12-31,156.152
1965-03-31,157.025
1965-06-30,159.808
1965-09-30,166.761
1965-12-31,172.619
1966-03-31,177.032
1966-06-30,181.659
1966-09-30,189.466
1966-12-31,193.621
1967-03-31,202.588
1967-06-30,203.811
1967-09-30,208.379
1967-12-31,213.293
1968-03-31,219.749
1968-06-30,223.637
1968-09-30,227.37
1968-12-31,231.347
1969-03-31,233.705
1969-06-30,236.859
1969-09-30,242.535
1969-12-31,242.838
1970-03-31,247.889
1970-06-30,249.143
1970-09-30,254.584
1970-12-31,258.708
1971-03-31,261.905
1971-06-30,266.118
1971-09-30,269.783
1971-12-31,272.067
1972-03-31,282.228
1972-06-30,286.464
1972-09-30,284.316
1972-12-31,291.749
1973-03-31,299.571
1973-06-30,302.709
1973-09-30,304.189
1973-12-31,312.593
1974-03-31,324.586
1974-06-30,334.957
1974-09-30,346.71
1974-12-31,359.228
1975-03-31,370.138
1975-06-30,373.408
1975-09-30,385.394
1975-12-31,395.571
1976-03-31,401.291
1976-06-30,400.985
1976-09-30,403.517
1976-12-31,410.818
1977-03-31,421.202
1977-06-30,431.362
1977-09-30,438.014
1977-12-31,446.749
1978-03-31,452.589
1978-06-30,472.288
1978-09-30,484.229
1978-12-31,496.241
1979-03-31,501.818
1979-06-30,516.508
1979-09-30,533.106
1979-12-31,547.775
1980-03-31,568.781
1980-06-30,588.547
1980-09-30,592.169
1980-12-31,608.893
1981-03-31,633.35
1981-06-30,648.673
1981-09-30,657.774
1981-12-31,677.727
1982-03-31,688.104
1982-06-30,703.093
1982-09-30,717.344
1982-12-31,737.351
1983-03-31,747.852
1983-06-30,761.061
1983-09-30,782.216
1983-12-31,775.099
1984-03-31,794.021
1984-06-30,819.132
1984-09-30,835.72
1984-12-31,862.769
1985-03-31,875.592
1985-06-30,900.527
1985-09-30,927.363
1985-12-31,938.584
1986-03-31,946.803
1986-06-30,967.519
1986-09-30,993.597
1986-12-31,996.385
1987-03-31,1008.681
1987-06-30,1025.219
1987-09-30,1036.195
1987-12-31,1056.024
1988-03-31,1056.893
1988-06-30,1070.421
1988-09-30,1078.19
1988-12-31,1109.916
1989-03-31,1116.559
1989-06-30,1145.809
1989-09-30,1164.58
1989-12-31,1180.5
1990-03-31,1212.45
1990-06-30,1230.721
1990-09-30,1242.584
1990-12-31,1268.467
1991-03-31,1284.187
1991-06-30,1296.577
1991-09-30,1306.265
1991-12-31,1308.774
1992-03-31,1326.421
1992-06-30,1334.807
1992-09-30,1353.997
1992-12-31,1362.775
1993-03-31,1351.818
1993-06-30,1359.066
1993-09-30,1367.411
1993-12-31,1381.394
1994-03-31,1373.35
1994-06-30,1389.392
1994-09-30,1423.432
1994-12-31,1422.923
1995-03-31,1437.596
1995-06-30,1452.892
1995-09-30,1455.659
1995-12-31,1451.575
1996-03-31,1471.295
1996-06-30,1487.662
1996-09-30,1496.733
1996-12-31,1515.702
1997-03-31,1515.985
1997-06-30,1542.541
1997-09-30,1555.224
1997-12-31,1574.782
1998-03-31,1568.029
1998-06-30,1603.691
1998-09-30,1627.262
1998-12-31,1647.452
1999-03-31,1669.139
1999-06-30,1694.757
1999-09-30,1733.984
1999-12-31,1781.74
2000-03-31,1789.895
2000-06-30,1822.524
2000-09-30,1832.078
2000-12-31,1861.253
2001-03-31,1906.253
2001-06-30,1947.731
2001-09-30,1953.408
2001-12-31,1992.742
2002-03-31,2040.01
2002-06-30,2074.482
2002-09-30,2101.256
