date,value
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,
1947-03-31,7.519
1947-06-30,8.203
1947-09-30,7.663
1947-12-31,8.347
1948-03-31,9.624
1948-06-30,10.036
1948-09-30,10.456
1948-12-31,10.124
1949-03-31,9.604
1949-06-30,9.364
1949-09-30,8.936
1949-12-31,9.092
1950-03-31,9.501
1950-06-30,10.229
1950-09-30,13.033
1950-12-31,13.685
1951-03-31,14.866
1951-06-30,15.178
1951-09-30,14.31
1951-12-31,13.99
1952-03-31,14.958
1952-06-30,14.63
1952-09-30,15.25
1952-12-31,16.342
1953-03-31,15.795
1953-06-30,16.447
1953-09-30,16.307
1953-12-31,15.507
1954-03-31,14.78
1954-06-30,16.184
1954-09-30,15.304
1954-12-31,15.46
1955-03-31,16.169
1955-06-30,17.097
1955-09-30,17.421
1955-12-31,18.109
1956-03-31,18.925
1956-06-30,18.973
1956-09-30,19.253
1956-12-31,18.541
1957-03-31,20.1
1957-06-30,20.27
1957-09-30,19.762
1957-12-31,19.634
1958-03-31,19.455
1958-06-30,20.075
1958-09-30,19.739
1958-12-31,20.823
1959-03-31,21.396
1959-06-30,22.544
1959-09-30,22.868
1959-12-31,22.504
1960-03-31,23.288
1960-06-30,23.455
1960-09-30,22.879
1960-12-31,21.742
1961-03-31,21.658
1961-06-30,21.899
1961-09-30,23.326
1961-12-31,23.87
1962-03-31,24.314
1962-06-30,24.884
1962-09-30,25.111
1962-12-31,25.55
1963-03-31,25.185
1963-06-30,25.89
1963-09-30,26.704
1963-12-31,26.764
1964-03-31,26.978
1964-06-30,27.726
1964-09-30,28.429
1964-12-31,29.285
1965-03-31,28.457
1965-06-30,31.679
1965-09-30,32.03
1965-12-31,33.948
1966-03-31,34.99
1966-06-30,36.24
1966-09-30,38.171
1966-12-31,38.829
1967-03-31,39.432
1967-06-30,39.02
1967-09-30,39.543
1967-12-31,41.652
1968-03-31,44.399
1968-06-30,45.416
1968-09-30,48.24
1968-12-31,48.17
1969-03-31,43.804
1969-06-30,52.671
1969-09-30,52.365
1969-12-31,53.126
1970-03-31,53.517
1970-06-30,55.204
1970-09-30,56.431
1970-12-31,57.888
1971-03-31,58.651
1971-06-30,63.296
1971-09-30,65.482
1971-12-31,61.939
1972-03-31,72.173
1972-06-30,71.409
1972-09-30,74.09
1972-12-31,79.19
1973-03-31,85.36
1973-06-30,89.468
1973-09-30,91.139
1973-12-31,98.669
1974-03-31,110.315
1974-06-30,129.382
1974-09-30,133.61
1974-12-31,136.552
1975-03-31,124.888
1975-06-30,115.245
1975-09-30,122.055
1975-12-31,128.73
1976-03-31,138.938
1976-06-30,147.116
1976-09-30,155.848
1976-12-31,162.68
1977-03-31,176.433
1977-06-30,183.042
1977-09-30,182.904
1977-12-31,187.391
1978-03-31,203.282
1978-06-30,208.84
1978-09-30,215.062
1978-12-31,221.815
1979-03-31,229.828
1979-06-30,243.097
1979-09-30,257.306
1979-12-31,280.466
1980-03-31,304.311
1980-06-30,292.6
