date,value
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,
1947-03-31,10.541
1947-06-30,10.573
1947-09-30,12.466
1947-12-31,15.254
1948-03-31,15.345
1948-06-30,16.427
1948-09-30,16.283
1948-12-31,15.177
1949-03-31,14.169
1949-06-30,13.913
1949-09-30,14.744
1949-12-31,16.538
1950-03-31,18.339
1950-06-30,20.603
1950-09-30,22.555
1950-12-31,21.478
1951-03-31,21.057
1951-06-30,18.467
1951-09-30,17.398
1951-12-31,17.723
1952-03-31,18.269
1952-06-30,18.763
1952-09-30,18.754
1952-12-31,19.647
1953-03-31,19.982
1953-06-30,20.073
1953-09-30,19.49
1953-12-31,19.251
1954-03-31,19.351
1954-06-30,20.668
1954-09-30,22.183
1954-12-31,23.565
1955-03-31,25.419
1955-06-30,26.005
1955-09-30,25.626
1955-12-31,24.565
1956-03-31,24.132
1956-06-30,24.374
1956-09-30,23.952
1956-12-31,23.491
1957-03-31,23.101
1957-06-30,22.61
1957-09-30,22.464
1957-12-31,22.349
1958-03-31,21.37
1958-06-30,21.469
1958-09-30,23.017
1958-12-31,25.434
1959-03-31,28.348
1959-06-30,29.358
1959-09-30,28.801
1959-12-31,28.006
1960-03-31,28.954
1960-06-30,26.684
1960-09-30,25.892
1960-12-31,25.893
1961-03-31,25.914
1961-06-30,26.118
1961-09-30,27.55
1961-12-31,28.462
1962-03-31,29.01
1962-06-30,29.906
1962-09-30,29.871
1962-12-31,29.785
1963-03-31,30.848
1963-06-30,32.93
1963-09-30,33.184
1963-12-31,34.456
1964-03-31,36.237
1964-06-30,34.988
1964-09-30,34.533
1964-12-31,34.644
1965-03-31,34.768
1965-06-30,35.102
1965-09-30,35.258
1965-12-31,35.523
1966-03-31,35.946
1966-06-30,34.362
1966-09-30,33.018
1966-12-31,30.188
1967-03-31,29.389
1967-06-30,32.857
1967-09-30,34.786
1967-12-31,37.476
1968-03-31,38.268
1968-06-30,39.563
1968-09-30,40.394
1968-12-31,42.572
1969-03-31,44.906
1969-06-30,45.13
1969-09-30,44.962
1969-12-31,42.503
1970-03-31,42.493
1970-06-30,41.365
1970-09-30,42.566
1970-12-31,47.218
1971-03-31,50.961
1971-06-30,56.974
1971-09-30,60.68
1971-12-31,63.995
1972-03-31,69.156
1972-06-30,70.824
1972-09-30,72.36
1972-12-31,77.257
1973-03-31,80.925
1973-06-30,78.707
1973-09-30,77.932
1973-12-31,75.723
1974-03-31,72.438
1974-06-30,71.157
1974-09-30,70.949
1974-12-31,63.324
1975-03-31,61.197
1975-06-30,63.959
1975-09-30,68.772
1975-12-31,73.005
1976-03-31,80.441
1976-06-30,84.847
1976-09-30,84.874
1976-12-31,96.888
1977-03-31,102.213
1977-06-30,116.485
1977-09-30,119.982
1977-12-31,122.235
1978-03-31,126.921
1978-06-30,136.976
1978-09-30,142.302
1978-12-31,145.84
1979-03-31,145.262
1979-06-30,147.625
1979-09-30,150.488
1979-12-31,147.99
1980-03-31,140.171
1980-06-30,116.864
