date,andevs_2
1992-02-29,35981.0
1992-03-31,39492.0
1992-04-30,39905.0
1992-05-31,40883.0
1992-06-30,39395.0
1992-07-31,38982.0
1992-08-31,37515.0
1992-09-30,38806.0
1992-10-31,39461.0
1992-11-30,37558.0
1992-12-31,40522.0
1993-01-31,37310.0
1993-02-28,41449.0
1993-03-31,38065.0
1993-04-30,39994.0
1993-05-31,39297.0
1993-06-30,42739.0
1993-07-31,41031.0
1993-08-31,42415.0
1993-09-30,40238.0
1993-10-31,41835.0
1993-11-30,41711.0
1993-12-31,42306.0
1994-01-31,42651.0
1994-02-28,43144.0
1994-03-31,41545.0
1994-04-30,44784.0
1994-05-31,43802.0
1994-06-30,46475.0
1994-07-31,45823.0
1994-08-31,46033.0
1994-09-30,46086.0
1994-10-31,46997.0
1994-11-30,48620.0
1994-12-31,46777.0
1995-01-31,47530.0
1995-02-28,49227.0
1995-03-31,48719.0
1995-04-30,48831.0
1995-05-31,50995.0
1995-06-30,49312.0
1995-07-31,48029.0
1995-08-31,49796.0
1995-09-30,55726.0
1995-10-31,51986.0
1995-11-30,54154.0
1995-12-31,58004.0
1996-01-31,52120.0
1996-02-29,52255.0
1996-03-31,56387.0
1996-04-30,50728.0
1996-05-31,55165.0
1996-06-30,54476.0
1996-07-31,55301.0
1996-08-31,50906.0
1996-09-30,55893.0
1996-10-31,55625.0
1996-11-30,54534.0
1996-12-31,52363.0
1997-01-31,53933.0
1997-02-28,58023.0
1997-03-31,56876.0
1997-04-30,58534.0
1997-05-31,56732.0
1997-06-30,60619.0
1997-07-31,62368.0
1997-08-31,62531.0
1997-09-30,62284.0
1997-10-31,63394.0
1997-11-30,73908.0
1997-12-31,58910.0
1998-01-31,60798.0
1998-02-28,62636.0
1998-03-31,60377.0
1998-04-30,63252.0
1998-05-31,63558.0
1998-06-30,62716.0
1998-07-31,61303.0
1998-08-31,63917.0
1998-09-30,63835.0
1998-10-31,60928.0
1998-11-30,62463.0
1998-12-31,58598.0
1999-01-31,63726.0
1999-02-28,62053.0
1999-03-31,61480.0
1999-04-30,61939.0
1999-05-31,63269.0
1999-06-30,62413.0
1999-07-31,66309.0
1999-08-31,66476.0
1999-09-30,66827.0
1999-10-31,65730.0
1999-11-30,64522.0
1999-12-31,69654.0
2000-01-31,69082.0
2000-02-29,62039.0
2000-03-31,67103.0
2000-04-30,69174.0
2000-05-31,67333.0
2000-06-30,76145.0
2000-07-31,67891.0
2000-08-31,69689.0
2000-09-30,75032.0
2000-10-31,65726.0
2000-11-30,68968.0
2000-12-31,72194.0
2001-01-31,63251.0
2001-02-28,64748.0
2001-03-31,64218.0
2001-04-30,59075.0
2001-05-31,59859.0
2001-06-30,59725.0
2001-07-31,55569.0
2001-08-31,57022.0
2001-09-30,52585.0
2001-10-31,50181.0
2001-11-30,52555.0
2001-12-31,52756.0
2002-01-31,49589.0
2002-02-28,54070.0
2002-03-31,50575.0
2002-04-30,51737.0
2002-05-31,53818.0
2002-06-30,49427.0
2002-07-31,52835.0
2002-08-31,56817.0
2002-09-30,50471.0
2002-10-31,51940.0
2002-11-30,51932.0
2002-12-31,51237.0
2003-01-31,51724.0
2003-02-28,51771.0
2003-03-31,53379.0
2003-04-30,51568.0
2003-05-31,52832.0
2003-06-30,52705.0
2003-07-31,52247.0
2003-08-31,51912.0
2003-09-30,54924.0
2003-10-31,54231.0
2003-11-30,53818.0
2003-12-31,55374.0
2004-01-31,53000.0
2004-02-29,54440.0
2004-03-31,58317.0
2004-04-30,54141.0
2004-05-31,55785.0
2004-06-30,56353.0
2004-07-31,61571.0
2004-08-31,54795.0
2004-09-30,59343.0
2004-10-31,56647.0
2004-11-30,61024.0
2004-12-31,60317.0
2005-01-31,61857.0
2005-02-28,62307.0
2005-03-31,58897.0
2005-04-30,60960.0
2005-05-31,73042.0
2005-06-30,70201.0
2005-07-31,64436.0
2005-08-31,68920.0
2005-09-30,62715.0
2005-10-31,67294.0
2005-11-30,81362.0
2005-12-31,78881.0
2006-01-31,69074.0
2006-02-28,70649.0
2006-03-31,77906.0
2006-04-30,71120.0
2006-05-31,71934.0
2006-06-30,71231.0
2006-07-31,69535.0
2006-08-31,67780.0
2006-09-30,86771.0
2006-10-31,76107.0
2006-11-30,75348.0
2006-12-31,79761.0
2007-01-31,72901.0
2007-02-28,74961.0
2007-03-31,83612.0
2007-04-30,83261.0
2007-05-31,77474.0
2007-06-30,81194.0
2007-07-31,81461.0
2007-08-31,77094.0
2007-09-30,79156.0
2007-10-31,77092.0
2007-11-30,79283.0
2007-12-31,87730.0
2008-01-31,85602.0
2008-02-29,80850.0
2008-03-31,82581.0
2008-04-30,79313.0
2008-05-31,76983.0
2008-06-30,76282.0
2008-07-31,74644.0
2008-08-31,71246.0
2008-09-30,70681.0
2008-10-31,64965.0
2008-11-30,61322.0
2008-12-31,54777.0
2009-01-31,49061.0
2009-02-28,47589.0
2009-03-31,46437.0
2009-04-30,44615.0
2009-05-31,48173.0
2009-06-30,49376.0
2009-07-31,51190.0
2009-08-31,51317.0
2009-09-30,50601.0
2009-10-31,51372.0
2009-11-30,50603.0
2009-12-31,49624.0
2010-01-31,56916.0
2010-02-28,62116.0
2010-03-31,58873.0
2010-04-30,59108.0
2010-05-31,64043.0
2010-06-30,63013.0
2010-07-31,58990.0
2010-08-31,63920.0
2010-09-30,70531.0
2010-10-31,66779.0
2010-11-30,63913.0
2010-12-31,60121.0
2011-01-31,66278.0
2011-02-28,63920.0
2011-03-31,72943.0
2011-04-30,64802.0
2011-05-31,71159.0
2011-06-30,68347.0
2011-07-31,69136.0
2011-08-31,79302.0
2011-09-30,70273.0
2011-10-31,73409.0
2011-11-30,76603.0
2011-12-31,84355.0
2012-01-31,85396.0
2012-02-29,84886.0
2012-03-31,78668.0
2012-04-30,75877.0
2012-05-31,77466.0
2012-06-30,74619.0
2012-07-31,80219.0
2012-08-31,64026.0
2012-09-30,76979.0
2012-10-31,78957.0
2012-11-30,74581.0
2012-12-31,79687.0
2013-01-31,82038.0
2013-02-28,87946.0
2013-03-31,78481.0
2013-04-30,81462.0
2013-05-31,91334.0
2013-06-30,97495.0
2013-07-31,78243.0
2013-08-31,78265.0
2013-09-30,88318.0
2013-10-31,82157.0
2013-11-30,94650.0
2013-12-31,93404.0
2014-01-31,80314.0
2014-02-28,76005.0
2014-03-31,80989.0
2014-04-30,78376.0
2014-05-31,79688.0
2014-06-30,80926.0
2014-07-31,139621.0
2014-08-31,81612.0
2014-09-30,81154.0
2014-10-31,75212.0
2014-11-30,76761.0
2014-12-31,72710.0
2015-01-31,74857.0
2015-02-28,70059.0
2015-03-31,74712.0
2015-04-30,74691.0
2015-05-31,66470.0
2015-06-30,74692.0
2015-07-31,71529.0
2015-08-31,70550.0
2015-09-30,64717.0
2015-10-31,74791.0
2015-11-30,67904.0
2015-12-31,60791.0
2016-01-31,76836.0
2016-02-29,67597.0
2016-03-31,63808.0
2016-04-30,76327.0
2016-05-31,74463.0
2016-06-30,61220.0
2016-07-31,67072.0
2016-08-31,66218.0
2016-09-30,65986.0
2016-10-31,81918.0
2016-11-30,61819.0
2016-12-31,65940.0
2017-01-31,69229.0
2017-02-28,71186.0
2017-03-31,71707.0
2017-04-30,72892.0
2017-05-31,70462.0
2017-06-30,85779.0
2017-07-31,65745.0
2017-08-31,68648.0
2017-09-30,74632.0
2017-10-31,72606.0
2017-11-30,76530.0
2017-12-31,76728.0
2018-01-31,68390.0
2018-02-28,73533.0
2018-03-31,78374.0
2018-04-30,74181.0
2018-05-31,73588.0
2018-06-30,70370.0
2018-07-31,66195.0
2018-08-31,73509.0
2018-09-30,69566.0
2018-10-31,67857.0
2018-11-30,65660.0
2018-12-31,70677.0
2019-01-31,68785.0
2019-02-28,63392.0
2019-03-31,69333.0
2019-04-30,64812.0
2019-05-31,57596.0
2019-06-30,55777.0
2019-07-31,63677.0
2019-08-31,62230.0
2019-09-30,56302.0
2019-10-31,60218.0
2019-11-30,57496.0
2019-12-31,51620.0
2020-01-31,69525.0
2020-02-29,71064.0
2020-03-31,51724.0
2020-04-30,51460.0
2020-05-31,59026.0
2020-06-30,48245.0
2020-07-31,57094.0
2020-08-31,61675.0
2020-09-30,63763.0
2020-10-31,67585.0
2020-11-30,66715.0
2020-12-31,64508.0
2021-01-31,70007.0
2021-02-28,74792.0
2021-03-31,74150.0
2021-04-30,77788.0
2021-05-31,75514.0
2021-06-30,75982.0
2021-07-31,74329.0
2021-08-31,82335.0
2021-09-30,73029.0
2021-10-31,76970.0
2021-11-30,82378.0
2021-12-31,77478.0
2022-01-31,90228.0
2022-02-28,84445.0
2022-03-31,81335.0
2022-04-30,84325.0
2022-05-31,81384.0
2022-06-30,77728.0
2022-07-31,85320.0
2022-08-31,84064.0
2022-09-30,81233.0
2022-10-31,88213.0
2022-11-30,81129.0
2022-12-31,84472.0
2023-01-31,85910.0
2023-02-28,80327.0
2023-03-31,86009.0
2023-04-30,88308.0
2023-05-31,91942.0
2023-06-30,99644.0
2023-07-31,90739.0
2023-08-31,88789.0
2023-09-30,96830.0
2023-10-31,86154.0
2023-11-30,107388.0
2023-12-31,95548.0
2024-01-31,82898.0
2024-02-29,85806.0
2024-03-31,86859.0
2024-04-30,84376.0
2024-05-31,84064.0
2024-06-30,64880.0
2024-07-31,92146.0
2024-08-31,88059.0
2024-09-30,85014.0
2024-10-31,87637.0
2024-11-30,84774.0
2024-12-31,80262.0
2025-01-31,90590.0
