date,inv_ch_2
1997-01-01,164163
1997-02-01,145561
1997-03-01,30829
1997-04-01,261827
1997-05-01,173936
1997-06-01,209321
1997-07-01,103935
1997-08-01,95366
1997-09-01,215284
1997-10-01,199414
1997-11-01,148620
1997-12-01,183228
1998-01-01,143160
1998-02-01,286982
1998-03-01,280380
1998-04-01,185346
1998-05-01,67855
1998-06-01,10015
1998-07-01,78104
1998-08-01,124222
1998-09-01,169206
1998-10-01,161792
1998-11-01,216217
1998-12-01,3537
1999-01-01,153552
1999-02-01,205768
1999-03-01,248522
1999-04-01,75548
1999-05-01,86624
1999-06-01,59549
1999-07-01,188315
1999-08-01,48582
1999-09-01,123083
1999-10-01,199786
1999-11-01,281705
1999-12-01,195923
2000-01-01,46929
2000-02-01,98550
2000-03-01,81222
2000-04-01,228381
2000-05-01,138714
2000-06-01,245169
2000-07-01,166469
2000-08-01,176337
2000-09-01,38706
2000-10-01,225157
2000-11-01,151234
2000-12-01,-29042
2001-01-01,38547
2001-02-01,-222197
2001-03-01,-117736
2001-04-01,90197
2001-05-01,35880
2001-06-01,-161883
2001-07-01,-157597
2001-08-01,-13311
2001-09-01,-61124
2001-10-01,-394012
2001-11-01,-281505
2001-12-01,76159
2002-01-01,94922
2002-02-01,-90507
2002-03-01,8301
2002-04-01,7421
2002-05-01,113199
2002-06-01,127957
2002-07-01,118038
2002-08-01,-43926
2002-09-01,140845
2002-10-01,10817
2002-11-01,120492
2002-12-01,184990
2003-01-01,37029
2003-02-01,167337
2003-03-01,-36191
2003-04-01,60178
2003-05-01,-69381
2003-06-01,-19548
2003-07-01,11137
2003-08-01,-104002
2003-09-01,112692
2003-10-01,134502
2003-11-01,55670
2003-12-01,123668
2004-01-01,-8407
2004-02-01,186834
2004-03-01,154256
2004-04-01,76898
2004-05-01,162488
2004-06-01,188844
2004-07-01,241531
2004-08-01,209047
2004-09-01,-39737
2004-10-01,179173
2004-11-01,262998
2004-12-01,32664
2005-01-01,421425
2005-02-01,277736
2005-03-01,110839
2005-04-01,95073
2005-05-01,-9580
2005-06-01,83814
2005-07-01,-135332
2005-08-01,85588
2005-09-01,96785
2005-10-01,230491
2005-11-01,128713
2005-12-01,267749
2006-01-01,177141
2006-02-01,86692
2006-03-01,251263
2006-04-01,85729
2006-05-01,301016
2006-06-01,170541
2006-07-01,76803
2006-08-01,301629
2006-09-01,219805
2006-10-01,64482
2006-11-01,222397
2006-12-01,18731
2007-01-01,-29803
2007-02-01,135927
2007-03-01,-34773
2007-04-01,138405
2007-05-01,67637
2007-06-01,106570
2007-07-01,47811
