date,exports
1992-01-31,50251.0
1992-02-29,51682.0
1992-03-31,50294.0
1992-04-30,50302.0
1992-05-31,50044.0
1992-06-30,51727.0
1992-07-31,52533.0
1992-08-31,50940.0
1992-09-30,51984.0
1992-10-31,53035.0
1992-11-30,52246.0
1992-12-31,51843.0
1993-01-31,52568.0
1993-02-28,52480.0
1993-03-31,53035.0
1993-04-30,53139.0
1993-05-31,54229.0
1993-06-30,52346.0
1993-07-31,52818.0
1993-08-31,53224.0
1993-09-30,53648.0
1993-10-31,55476.0
1993-11-30,54345.0
1993-12-31,55552.0
1994-01-31,55159.0
1994-02-28,53729.0
1994-03-31,58307.0
1994-04-30,56436.0
1994-05-31,57342.0
1994-06-30,58451.0
1994-07-31,58492.0
1994-08-31,60407.0
1994-09-30,60715.0
1994-10-31,59861.0
1994-11-30,61532.0
1994-12-31,62825.0
1995-01-31,63118.0
1995-02-28,63077.0
1995-03-31,64349.0
1995-04-30,65074.0
1995-05-31,65755.0
1995-06-30,64855.0
1995-07-31,66560.0
1995-08-31,67469.0
1995-09-30,68943.0
1995-10-31,68105.0
1995-11-30,68009.0
1995-12-31,69071.0
1996-01-31,68299.0
1996-02-29,69899.0
1996-03-31,69797.0
1996-04-30,70126.0
1996-05-31,71029.0
1996-06-30,71056.0
1996-07-31,69404.0
1996-08-31,70563.0
1996-09-30,70553.0
1996-10-31,73769.0
1996-11-30,74263.0
1996-12-31,72842.0
1997-01-31,72910.0
1997-02-28,75225.0
1997-03-31,77050.0
1997-04-30,77769.0
1997-05-31,77883.0
1997-06-30,78889.0
1997-07-31,80099.0
1997-08-31,78622.0
1997-09-30,79287.0
1997-10-31,79383.0
1997-11-30,78300.0
1997-12-31,79038.0
1998-01-31,79008.0
1998-02-28,77931.0
1998-03-31,78812.0
1998-04-30,77626.0
1998-05-31,77147.0
1998-06-30,76961.0
1998-07-31,76149.0
1998-08-31,75512.0
1998-09-30,77179.0
1998-10-31,79351.0
1998-11-30,79117.0
1998-12-31,78382.0
1999-01-31,78473.0
1999-02-28,78212.0
1999-03-31,78701.0
1999-04-30,79530.0
1999-05-31,79539.0
1999-06-30,79808.0
1999-07-31,81122.0
1999-08-31,82645.0
1999-09-30,83727.0
1999-10-31,83942.0
1999-11-30,84633.0
1999-12-31,86192.0
2000-01-31,86001.0
2000-02-29,86540.0
2000-03-31,88115.0
2000-04-30,89359.0
2000-05-31,88958.0
2000-06-30,91635.0
2000-07-31,91195.0
2000-08-31,93112.0
2000-09-30,92896.0
2000-10-31,92177.0
2000-11-30,91919.0
2000-12-31,91055.0
2001-01-31,90796.0
2001-02-28,91101.0
2001-03-31,89251.0
