date,priv
1993-01-31,194150.0
1993-02-28,194689.0
1993-03-31,190185.0
1993-04-30,198296.0
1993-05-31,198835.0
1993-06-30,203175.0
1993-07-31,208760.0
1993-08-31,212238.0
1993-09-30,214446.0
1993-10-31,214778.0
1993-11-30,227235.0
1993-12-31,235648.0
1994-01-31,238612.0
1994-02-28,236577.0
1994-03-31,235150.0
1994-04-30,244746.0
1994-05-31,244056.0
1994-06-30,244032.0
1994-07-31,245463.0
1994-08-31,243134.0
1994-09-30,242619.0
1994-10-31,234905.0
1994-11-30,239857.0
1994-12-31,241395.0
1995-01-31,241184.0
1995-02-28,234257.0
1995-03-31,228013.0
1995-04-30,225488.0
1995-05-31,222062.0
1995-06-30,218972.0
1995-07-31,224113.0
1995-08-31,226045.0
1995-09-30,228688.0
1995-10-31,227589.0
1995-11-30,231913.0
1995-12-31,235572.0
1996-01-31,240958.0
1996-02-29,243695.0
1996-03-31,249952.0
1996-04-30,252836.0
1996-05-31,259296.0
1996-06-30,263085.0
1996-07-31,263549.0
1996-08-31,263618.0
1996-09-30,265677.0
1996-10-31,261444.0
1996-11-30,259668.0
1996-12-31,253234.0
1997-01-31,255365.0
1997-02-28,258595.0
1997-03-31,264566.0
1997-04-30,257490.0
1997-05-31,264581.0
1997-06-30,262299.0
1997-07-31,261593.0
1997-08-31,263951.0
1997-09-30,270511.0
1997-10-31,272980.0
1997-11-30,272786.0
1997-12-31,269192.0
1998-01-31,276485.0
1998-02-28,279249.0
1998-03-31,291505.0
1998-04-30,288409.0
1998-05-31,292879.0
1998-06-30,296632.0
1998-07-31,296717.0
1998-08-31,299495.0
1998-09-30,305345.0
1998-10-31,308127.0
1998-11-30,307899.0
1998-12-31,302650.0
1999-01-31,305968.0
1999-02-28,307914.0
1999-03-31,316822.0
1999-04-30,316111.0
1999-05-31,320326.0
1999-06-30,322905.0
1999-07-31,320854.0
1999-08-31,326779.0
1999-09-30,334947.0
1999-10-31,342423.0
1999-11-30,348035.0
1999-12-31,346989.0
2000-01-31,353065.0
2000-02-29,351933.0
2000-03-31,353452.0
2000-04-30,356188.0
2000-05-31,349907.0
2000-06-30,348133.0
2000-07-31,337374.0
2000-08-31,337583.0
2000-09-30,339048.0
2000-10-31,344095.0
2000-11-30,347301.0
2000-12-31,344139.0
2001-01-31,348279.0
2001-02-28,353629.0
2001-03-31,350029.0
2001-04-30,361991.0
2001-05-31,360534.0
2001-06-30,365905.0
2001-07-31,366500.0
2001-08-31,369000.0
2001-09-30,368809.0
2001-10-31,370957.0
2001-11-30,375803.0
2001-12-31,376279.0
2002-01-31,377631.0
2002-02-28,385745.0
2002-03-31,385406.0
2002-04-30,398990.0
2002-05-31,394223.0
2002-06-30,401920.0
2002-07-31,404632.0
2002-08-31,398875.0
2002-09-30,394820.0
2002-10-31,397077.0
2002-11-30,401424.0
2002-12-31,411758.0
2003-01-31,417788.0
2003-02-28,417500.0
