date,pce
1959-01-31,306.1
1959-02-28,309.6
1959-03-31,312.7
1959-04-30,312.2
1959-05-31,316.1
1959-06-30,318.2
1959-07-31,317.8
1959-08-31,320.2
1959-09-30,324.2
1959-10-31,322.8
1959-11-30,322.9
1959-12-31,322.9
1960-01-31,323.6
1960-02-29,325.3
1960-03-31,330.2
1960-04-30,336.5
1960-05-31,330.0
1960-06-30,330.1
1960-07-31,331.4
1960-08-31,331.6
1960-09-30,333.4
1960-10-31,335.4
1960-11-30,335.4
1960-12-31,331.3
1961-01-31,332.2
1961-02-28,333.7
1961-03-31,337.7
1961-04-30,337.6
1961-05-31,339.9
1961-06-30,340.9
1961-07-31,340.6
1961-08-31,342.1
1961-09-30,344.4
1961-10-31,346.5
1961-11-30,349.9
1961-12-31,352.4
1962-01-31,353.2
1962-02-28,354.0
1962-03-31,357.4
1962-04-30,359.0
1962-05-31,362.0
1962-06-30,360.4
1962-07-31,361.4
1962-08-31,362.9
1962-09-30,368.8
1962-10-31,366.5
1962-11-30,371.7
1962-12-31,373.6
1963-01-31,374.4
1963-02-28,373.4
1963-03-31,375.0
1963-04-30,376.4
1963-05-31,377.2
1963-06-30,381.7
1963-07-31,384.4
1963-08-31,386.3
1963-09-30,385.5
1963-10-31,386.0
1963-11-30,389.4
1963-12-31,394.7
1964-01-31,396.8
1964-02-29,400.2
1964-03-31,401.8
1964-04-30,402.8
1964-05-31,408.4
1964-06-30,411.4
1964-07-31,414.9
1964-08-31,417.7
1964-09-30,416.6
1964-10-31,419.6
1964-11-30,416.4
1964-12-31,421.0
1965-01-31,424.4
1965-02-28,431.4
1965-03-31,433.3
1965-04-30,437.1
1965-05-31,437.6
1965-06-30,435.2
1965-07-31,441.0
1965-08-31,444.4
1965-09-30,452.0
1965-10-31,458.5
1965-11-30,459.1
1965-12-31,461.7
1966-01-31,465.2
1966-02-28,470.2
1966-03-31,475.0
1966-04-30,476.9
1966-05-31,473.1
1966-06-30,475.5
1966-07-31,480.6
1966-08-31,483.2
1966-09-30,489.2
1966-10-31,488.3
1966-11-30,490.1
1966-12-31,491.8
1967-01-31,494.2
1967-02-28,493.0
1967-03-31,495.8
1967-04-30,501.3
1967-05-31,502.2
1967-06-30,506.8
1967-07-31,506.7
1967-08-31,509.8
1967-09-30,515.6
1967-10-31,512.2
1967-11-30,517.4
1967-12-31,525.1
1968-01-31,530.9
1968-02-29,533.6
1968-03-31,544.3
1968-04-30,544.0
1968-05-31,549.8
1968-06-30,556.3
1968-07-31,563.2
1968-08-31,567.0
1968-09-30,568.2
1968-10-31,571.6
1968-11-30,576.7
1968-12-31,576.5
1969-01-31,583.5
1969-02-28,588.7
1969-03-31,588.9
1969-04-30,593.9
1969-05-31,600.3
1969-06-30,600.9
1969-07-31,602.7
1969-08-31,609.9
1969-09-30,613.2
1969-10-31,618.5
1969-11-30,620.5
1969-12-31,622.8
1970-01-31,628.7
1970-02-28,634.0
1970-03-31,632.3
1970-04-30,636.0
1970-05-31,642.4
1970-06-30,646.3
1970-07-31,648.5
1970-08-31,652.9
1970-09-30,659.1
1970-10-31,658.3
1970-11-30,656.6
1970-12-31,665.6
1971-01-31,676.1
1971-02-28,679.4
1971-03-31,682.0
1971-04-30,688.8
1971-05-31,691.1
1971-06-30,699.8
1971-07-31,698.9
1971-08-31,704.9
1971-09-30,713.0
1971-10-31,715.8
1971-11-30,720.9
1971-12-31,728.4
1972-01-31,731.5
1972-02-29,736.2
1972-03-31,749.2
1972-04-30,752.5
1972-05-31,758.0
1972-06-30,761.6
1972-07-31,769.9
1972-08-31,776.3
1972-09-30,781.1
1972-10-31,794.9
