date,pcepi
1959-01-31,15.164
1959-02-28,15.179
1959-03-31,15.189
1959-04-30,15.219
1959-05-31,15.227
1959-06-30,15.271
1959-07-31,15.303
1959-08-31,15.325
1959-09-30,15.365
1959-10-31,15.402
1959-11-30,15.412
1959-12-31,15.43
1960-01-31,15.421
1960-02-29,15.437
1960-03-31,15.446
1960-04-30,15.502
1960-05-31,15.518
1960-06-30,15.525
1960-07-31,15.553
1960-08-31,15.579
1960-09-30,15.588
1960-10-31,15.606
1960-11-30,15.659
1960-12-31,15.662
1961-01-31,15.665
1961-02-28,15.679
1961-03-31,15.67
1961-04-30,15.661
1961-05-31,15.67
1961-06-30,15.677
1961-07-31,15.711
1961-08-31,15.724
1961-09-30,15.742
1961-10-31,15.741
1961-11-30,15.742
1961-12-31,15.746
1962-01-31,15.776
1962-02-28,15.818
1962-03-31,15.839
1962-04-30,15.857
1962-05-31,15.867
1962-06-30,15.877
1962-07-31,15.868
1962-08-31,15.891
1962-09-30,15.969
1962-10-31,15.953
1962-11-30,15.964
1962-12-31,15.958
1963-01-31,15.997
1963-02-28,16.014
1963-03-31,16.001
1963-04-30,16.0
1963-05-31,16.026
1963-06-30,16.061
1963-07-31,16.093
1963-08-31,16.115
1963-09-30,16.112
1963-10-31,16.143
1963-11-30,16.166
1963-12-31,16.19
1964-01-31,16.224
1964-02-29,16.247
1964-03-31,16.257
1964-04-30,16.269
1964-05-31,16.271
1964-06-30,16.294
1964-07-31,16.315
1964-08-31,16.327
1964-09-30,16.352
1964-10-31,16.362
1964-11-30,16.385
1964-12-31,16.409
1965-01-31,16.427
1965-02-28,16.434
1965-03-31,16.455
1965-04-30,16.481
1965-05-31,16.518
1965-06-30,16.566
1965-07-31,16.578
1965-08-31,16.582
1965-09-30,16.59
1965-10-31,16.595
1965-11-30,16.623
1965-12-31,16.683
1966-01-31,16.703
1966-02-28,16.772
1966-03-31,16.813
1966-04-30,16.871
1966-05-31,16.892
1966-06-30,16.934
1966-07-31,16.967
1966-08-31,17.032
1966-09-30,17.086
1966-10-31,17.131
1966-11-30,17.156
1966-12-31,17.192
1967-01-31,17.193
1967-02-28,17.213
1967-03-31,17.222
1967-04-30,17.251
1967-05-31,17.284
1967-06-30,17.339
1967-07-31,17.398
1967-08-31,17.452
1967-09-30,17.505
1967-10-31,17.554
1967-11-30,17.612
1967-12-31,17.64
1968-01-31,17.722
1968-02-29,17.794
1968-03-31,17.852
1968-04-30,17.908
1968-05-31,17.974
1968-06-30,18.032
1968-07-31,18.087
1968-08-31,18.161
1968-09-30,18.224
1968-10-31,18.304
1968-11-30,18.366
1968-12-31,18.404
1969-01-31,18.476
1969-02-28,18.523
1969-03-31,18.61
1969-04-30,18.692
1969-05-31,18.767
1969-06-30,18.858
1969-07-31,18.941
1969-08-31,18.993
1969-09-30,19.072
1969-10-31,19.137
1969-11-30,19.22
1969-12-31,19.308
1970-01-31,19.377
1970-02-28,19.454
1970-03-31,19.502
1970-04-30,19.601
1970-05-31,19.663
1970-06-30,19.714
1970-07-31,19.786
1970-08-31,19.838
1970-09-30,19.927
1970-10-31,20.026
1970-11-30,20.105
1970-12-31,20.194
1971-01-31,20.237
1971-02-28,20.296
1971-03-31,20.363
1971-04-30,20.443
1971-05-31,20.528
1971-06-30,20.619
1971-07-31,20.681
1971-08-31,20.741
1971-09-30,20.772
1971-10-31,20.804
1971-11-30,20.847
1971-12-31,20.929
1972-01-31,21.015
1972-02-29,21.098
1972-03-31,21.128
1972-04-30,21.16
1972-05-31,21.207
1972-06-30,21.239
1972-07-31,21.315
1972-08-31,21.377
1972-09-30,21.473
1972-10-31,21.497
1972-11-30,21.561
1972-12-31,21.63
1973-01-31,21.695
1973-02-28,21.809
1973-03-31,21.964
1973-04-30,22.127
1973-05-31,22.236
1973-06-30,22.363
1973-07-31,22.444
1973-08-31,22.703
1973-09-30,22.793
1973-10-31,22.922
1973-11-30,23.11
1973-12-31,23.3
1974-01-31,23.523
1974-02-28,23.797
1974-03-31,24.073
1974-04-30,24.243
1974-05-31,24.482
1974-06-30,24.69
1974-07-31,24.872
1974-08-31,25.132
1974-09-30,25.393
1974-10-31,25.575
1974-11-30,25.767
1974-12-31,25.971
1975-01-31,26.132
1975-02-28,26.274
1975-03-31,26.363
1975-04-30,26.452
1975-05-31,26.558
1975-06-30,26.724
1975-07-31,26.953
1975-08-31,27.07
1975-09-30,27.204
1975-10-31,27.362
1975-11-30,27.538
1975-12-31,27.69
1976-01-31,27.795
1976-02-29,27.831
1976-03-31,27.873
1976-04-30,27.936
1976-05-31,28.069
1976-06-30,28.192
1976-07-31,28.335
1976-08-31,28.491
1976-09-30,28.651
1976-10-31,28.801
1976-11-30,28.932
1976-12-31,29.094
1977-01-31,29.263
1977-02-28,29.492
1977-03-31,29.64
1977-04-30,29.812
1977-05-31,29.963
1977-06-30,30.131
1977-07-31,30.287
1977-08-31,30.428
1977-09-30,30.543
1977-10-31,30.685
1977-11-30,30.861
1977-12-31,31.011
1978-01-31,31.194
1978-02-28,31.339
1978-03-31,31.542
1978-04-30,31.781
1978-05-31,32.008
1978-06-30,32.217
1978-07-31,32.393
1978-08-31,32.557
1978-09-30,32.742
1978-10-31,33.003
1978-11-30,33.19
1978-12-31,33.345
1979-01-31,33.597
1979-02-28,33.776
1979-03-31,34.04
1979-04-30,34.395
1979-05-31,34.751
1979-06-30,35.038
1979-07-31,35.305
1979-08-31,35.575
1979-09-30,35.889
1979-10-31,36.182
1979-11-30,36.433
1979-12-31,36.739
1980-01-31,37.124
1980-02-29,37.526
1980-03-31,37.987
1980-04-30,38.185
1980-05-31,38.482
1980-06-30,38.725
1980-07-31,39.026
1980-08-31,39.351
1980-09-30,39.715
1980-10-31,40.033
