date,NR_STRUC_Q
1947-03-31,7.889
1947-06-30,7.947
1947-09-30,8.28
1947-12-31,8.432
1948-03-31,8.833
1948-06-30,9.327
1948-09-30,9.854
1948-12-31,10.09
1949-03-31,9.736
1949-06-30,9.377
1949-09-30,8.915
1949-12-31,8.684
1950-03-31,9.075
1950-06-30,9.502
1950-09-30,10.269
1950-12-31,10.982
1951-03-31,11.467
1951-06-30,12.151
1951-09-30,12.28
1951-12-31,11.918
1952-03-31,12.029
1952-06-30,12.075
1952-09-30,12.15
1952-12-31,12.642
1953-03-31,13.061
1953-06-30,13.499
1953-09-30,13.749
1953-12-31,13.971
1954-03-31,13.92
1954-06-30,13.877
1954-09-30,13.852
1954-12-31,13.811
1955-03-31,14.274
1955-06-30,14.744
1955-09-30,15.438
1955-12-31,16.172
1956-03-31,17.415
1956-06-30,17.982
1956-09-30,18.59
1956-12-31,18.733
1957-03-31,18.77
1957-06-30,18.992
1957-09-30,19.096
1957-12-31,18.942
1958-03-31,18.084
1958-06-30,17.594
1958-09-30,17.259
1958-12-31,17.579
1959-03-31,17.397
1959-06-30,18.037
1959-09-30,18.644
1959-12-31,18.519
1960-03-31,19.36
1960-06-30,19.473
1960-09-30,19.418
1960-12-31,20.022
1961-03-31,19.929
1961-06-30,19.634
1961-09-30,19.665
1961-12-31,19.632
1962-03-31,20.03
1962-06-30,20.828
1962-09-30,21.355
1962-12-31,20.9
1963-03-31,20.233
1963-06-30,21.233
1963-09-30,21.436
1963-12-31,21.891
1964-03-31,22.425
1964-06-30,23.45
1964-09-30,24.25
1964-12-31,24.823
1965-03-31,26.142
1965-06-30,28.166
1965-09-30,28.535
1965-12-31,30.442
1966-03-31,31.098
1966-06-30,31.172
1966-09-30,31.907
1966-12-31,31.217
1967-03-31,31.668
1967-06-30,30.934
1967-09-30,31.476
1967-12-31,31.966
1968-03-31,33.051
1968-06-30,33.184
1968-09-30,33.232
1968-12-31,34.762
1969-03-31,35.794
1969-06-30,36.671
1969-09-30,38.931
1969-12-31,39.399
1970-03-31,39.49
1970-06-30,40.313
1970-09-30,40.578
1970-12-31,40.767
1971-03-31,41.504
1971-06-30,42.335
1971-09-30,43.118
1971-12-31,43.758
1972-03-31,45.781
1972-06-30,46.607
1972-09-30,47.314
1972-12-31,48.99
1973-03-31,51.327
1973-06-30,54.06
1973-09-30,56.831
1973-12-31,57.714
1974-03-31,58.984
1974-06-30,61.333
1974-09-30,61.417
1974-12-31,63.214
1975-03-31,61.682
1975-06-30,60.409
1975-09-30,61.275
1975-12-31,62.034
1976-03-31,64.099
1976-06-30,65.057
1976-09-30,66.683
1976-12-31,67.821
1977-03-31,69.732
1977-06-30,73.631
1977-09-30,76.409
1977-12-31,78.54
1978-03-31,80.018
1978-06-30,90.259
1978-09-30,98.559
1978-12-31,105.498
1979-03-31,107.879
1979-06-30,112.844
1979-09-30,121.814
1979-12-31,128.268
1980-03-31,132.557
1980-06-30,132.299
1980-09-30,135.769
1980-12-31,144.056
1981-03-31,150.017
1981-06-30,161.01
1981-09-30,169.743
1981-12-31,188.485
1982-03-31,186.622
1982-06-30,182.45
1982-09-30,172.926
1982-12-31,168.257
1983-03-31,158.581
1983-06-30,149.502
1983-09-30,152.648
1983-12-31,156.644
1984-03-31,165.735
1984-06-30,175.807
1984-09-30,182.528
1984-12-31,185.519
1985-03-31,194.875
1985-06-30,195.236
1985-09-30,192.21
1985-12-31,195.751
1986-03-31,191.672
1986-06-30,174.504
1986-09-30,169.021
1986-12-31,170.911
1987-03-31,166.921
1987-06-30,169.576
1987-09-30,177.585
1987-12-31,182.728
1988-03-31,178.614
1988-06-30,184.151
1988-09-30,183.452
1988-12-31,184.943
1989-03-31,189.505
1989-06-30,189.565
1989-09-30,197.739
1989-12-31,198.056
1990-03-31,204.137
1990-06-30,204.572
1990-09-30,205.516
1990-12-31,197.443
1991-03-31,194.901
1991-06-30,189.888
1991-09-30,177.485
1991-12-31,172.151
1992-03-31,169.931
1992-06-30,170.64
1992-09-30,173.047
1992-12-31,176.671
1993-03-31,175.587
1993-06-30,174.132
1993-09-30,175.971
1993-12-31,182.914
1994-03-31,178.514
1994-06-30,187.092
1994-09-30,188.085
1994-12-31,193.38
1995-03-31,201.169
1995-06-30,207.376
1995-09-30,210.305
1995-12-31,210.232
1996-03-31,214.308
1996-06-30,219.793
1996-09-30,225.302
1996-12-31,238.928
1997-03-31,242.66
1997-06-30,242.624
1997-09-30,255.654
1997-12-31,260.124
1998-03-31,261.74
1998-06-30,278.92
1998-09-30,280.799
1998-12-31,282.556
1999-03-31,284.024
1999-06-30,283.078
1999-09-30,285.085
1999-12-31,290.707
2000-03-31,300.591
2000-06-30,316.209
2000-09-30,330.932
2000-12-31,336.288
2001-03-31,331.757
2001-06-30,338.872
2001-09-30,347.091
2001-12-31,316.321
2002-03-31,302.665
2002-06-30,289.347
2002-09-30,278.214
2002-12-31,277.719
2003-03-31,279.223
2003-06-30,286.906
2003-09-30,287.938
2003-12-31,292.354
2004-03-31,292.302
2004-06-30,300.777
2004-09-30,313.984
2004-12-31,323.55
2005-03-31,337.524
2005-06-30,344.955
2005-09-30,355.751
2005-12-31,373.603
2006-03-31,397.604
2006-06-30,420.098
2006-09-30,435.822
2006-12-31,447.221
2007-03-31,469.629
2007-06-30,498.116
2007-09-30,526.678
2007-12-31,546.786
2008-03-31,556.86
2008-06-30,571.937
2008-09-30,578.839
2008-12-31,576.791
2009-03-31,527.728
2009-06-30,473.07
2009-09-30,429.528
2009-12-31,392.94
2010-03-31,368.793
2010-06-30,382.076
2010-09-30,379.089
2010-12-31,389.176
2011-03-31,362.208
2011-06-30,392.671
2011-09-30,421.163
2011-12-31,441.786
2012-03-31,470.093
2012-06-30,488.086
2012-09-30,484.703
2012-12-31,474.859
2013-03-31,463.63
2013-06-30,479.157
2013-09-30,505.483
2013-12-31,517.584
2014-03-31,544.989
2014-06-30,572.236
2014-09-30,582.391
2014-12-31,598.815
2015-03-31,592.503
2015-06-30,597.951
2015-09-30,584.073
2015-12-31,563.567
2016-03-31,541.427
2016-06-30,557.013
2016-09-30,578.523
2016-12-31,587.862
2017-03-31,592.26
2017-06-30,598.612
2017-09-30,589.829
2017-12-31,598.902
2018-03-31,633.005
2018-06-30,638.366
2018-09-30,641.986
2018-12-31,633.176
2019-03-31,642.215
2019-06-30,670.644
2019-09-30,702.495
2019-12-31,696.11
2020-03-31,692.559
2020-06-30,609.315
2020-09-30,598.092
2020-12-31,598.872
2021-03-31,612.592
2021-06-30,622.679
2021-09-30,630.086
2021-12-31,647.857
2022-03-31,691.224
2022-06-30,735.351
2022-09-30,781.711
2022-12-31,816.061
2023-03-31,857.581
2023-06-30,888.707
2023-09-30,884.136
2023-12-31,905.787
2024-03-31,914.933
2024-06-30,916.042
2024-09-30,908.641
2024-12-31,910.596
