Year,Quarter,PCEC,NR_STRUC_Q,equip_q,RES_Q,INVTCHANGE_Q,exports_q,imports_q,GOV_Q,GDPDEF
1939,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1939,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1939,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1939,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1940,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1940,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1940,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1940,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1941,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1941,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1941,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1941,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1942,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1942,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1942,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1942,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1943,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1943,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1943,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1943,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1944,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1944,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1944,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1944,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1945,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1945,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1945,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1945,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1946,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1946,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1946,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1946,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1947,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141
1947,2,160.031,7.947,9.446,10.573,-1.24,19.497,8.203,40.138,11.299
1947,3,163.543,8.28,9.384,12.466,-2.917,19.433,7.663,39.361,11.489
1947,4,167.672,8.432,9.827,15.254,1.456,17.636,8.347,39.534,11.772
1948,1,170.372,8.833,10.404,15.345,3.626,16.917,9.624,40.875,11.865
1948,2,174.142,9.327,9.829999999999998,16.427,5.859,15.241,10.036,42.884,11.972
1948,3,177.072,9.854,9.893,16.283,7.152,15.405,10.456,44.66,12.193
