Year,Month,GDP_nominal,GDP_real,Price_index
1959,1,-227.58508442111685,-22758.508442111684,1
1959,2,-206.92467349419573,-20692.467349419574,1
1959,3,-188.971357210163,-18897.1357210163,1
1959,4,-165.62233559186166,-16562.233559186167,1
1959,5,-157.85380866213364,-15785.380866213365,1
1959,6,-137.87497644382114,-13787.497644382114,1
1959,7,-125.77703895976653,-12577.703895976652,1
1959,8,-119.88419623281206,-11988.419623281206,1
1959,9,-113.13864828579989,-11313.864828579988,1
1959,10,-95.46059514157275,-9546.059514157276,1
1959,11,-92.44923682297232,-9244.923682297233,1
1959,12,-68.11177335284124,-6811.177335284124,1
1960,1,-58.384404754021574,-5838.440475402157,1
1960,2,-44.66733104935579,-4466.733104935579,1
1960,3,-34.184752261686,-3418.4752261686,1
1960,4,-28.06586841385452,-2806.586841385452,1
1960,5,-19.23287952870349,-1923.2879528703488,1
1960,6,-18.04398562907553,-1804.3985629075528,1
1960,7,-6.833386737812438,-683.3386737812438,1
1960,8,-10.505282877757166,-1050.5282877757165,1
1960,9,4.4341259282487915,443.41259282487914,1
1960,10,8.723639657362757,872.3639657362756,1
1960,11,17.29205828674218,1729.2058286742179,1
1960,12,5.768181793545629,576.818179354563,1
1961,1,19.68981015493004,1968.981015493004,1
1961,2,29.043743348053273,2904.374334805327,1
1961,3,34.29978135007347,3429.9781350073467,1
1961,4,43.702724138148184,4370.272413814819,1
1961,5,49.32237168943472,4932.237168943472,1
1961,6,52.447523981091265,5244.752398109126,1
1961,7,55.6949809902756,5569.49809902756,1
1961,8,66.76954269414512,6676.954269414511,1
1961,9,72.14200906985772,7214.200906985772,1
1961,10,76.04118009457113,7604.118009457114,1
1961,11,86.57485574544302,8657.485574544302,1
1961,12,83.39383599963136,8339.383599963136,1
1962,1,92.22392083429358,9222.392083429359,1
1962,2,95.00491022658753,9500.491022658753,1
1962,3,99.92860415367092,9992.860415367091,1
1962,4,99.43880259270139,9943.88025927014,1
1962,5,108.9953055208369,10899.53055208369,1
1962,6,105.67691291523505,10567.691291523504,1
1962,7,100.07742475305344,10007.742475305344,1
1962,8,103.57864101145012,10357.86410114501,1
1962,9,109.80936166758244,10980.936166758243,1
1962,10,102.75838669860863,10275.838669860863,1
1962,11,102.30751608168569,10230.75160816857,1
1962,12,103.09254979397193,10309.254979397192,1
1963,1,97.25128781262501,9725.128781262501,1
1963,2,103.48653011480239,10348.653011480239,1
1963,3,99.4570766776622,9945.70766776622,1
1963,4,99.43272747836164,9943.272747836165,1
1963,5,103.67628249405888,10367.628249405889,1
1963,6,104.92154170191179,10492.15417019118,1
1963,7,105.97130507907724,10597.130507907725,1
1963,8,105.84437260271389,10584.437260271388,1
