Year, Month,PCE,NR_STRUC_Q,equip_q,RES_Q,INVTCHANGE_Q,exports_q,imports_q,GOV_Q,GDPDEF
1959,1,306.5,17.12344663,25.10297196,27.37943,12.85677785,22.43308586,17.9004997,117.7901272,17.15842274
1959,2,310,17.42910836,27.50882762,27.68501721,-0.646953437,20.47503221,22.4866406,117.1700746,17.17231162
1959,3,313.1,17.63841357,28.61919439,28.11955807,-0.581824418,22.49489215,23.80085868,117.9185356,17.17592649
1959,4,312.6,17.7349303,28.3113642,28.80381649,9.515559352,22.32980836,23.03162613,118.4943711,17.18576909
1959,5,316.5,18.03498224,27.93587037,28.89516405,3.460014331,22.55340275,22.77568484,118.8593745,17.18373299
1959,6,318.6,18.34112321,27.92977853,28.5210031,8.888426279,22.78477588,21.82469781,119.5380693,17.21272636
1959,7,318.1,18.65450693,28.75346187,28.44497351,6.594725662,22.5860855,21.50865413,120.0473359,17.23765399
1959,8,320.5,18.79793053,29.23124953,28.33474794,0.406540185,22.8614139,22.61917731,119.9143128,17.25434796
1959,9,324.6,18.4795458,29.36928571,28.01527851,-5.849265367,24.95051598,24.47615803,119.7560886,17.28193855
1959,10,323.1,18.29087676,29.13739516,27.7866567,2.500113888,21.37154995,21.07029878,119.4691233,17.30571825
1959,11,323.2,18.38620277,29.03983774,27.33401761,-1.44402377,22.73813123,22.64276514,118.8914917,17.32058254
1959,12,323.2,18.87995128,29.20377206,27.37934428,11.3039101,25.12431437,23.79893092,118.7259197,17.35218727
1960,1,324,18.89232779,29.68236372,28.63138572,10.09134859,25.78829735,22.22616452,117.3438219,17.3771015
1960,2,325.7,19.62396185,30.09898178,28.68875493,13.37165455,26.15928495,24.34267265,117.6551416,17.40323201
1960,3,330.5,19.56371931,30.48565416,27.92169394,10.13699623,26.06742121,23.29515509,117.2914019,17.41004506
1960,4,336.9,19.47962281,30.81059848,26.71942558,0.403432087,27.68806537,24.38070858,117.9107918,17.43620923
1960,5,330.4,19.40126362,30.853582,26.22961387,6.346214391,27.80651187,22.91903908,118.9932359,17.44219357
1960,6,330.5,19.53808445,30.58281583,25.53427883,2.922353998,27.34741498,23.06524976,119.6555153,17.45100913
1960,7,331.8,19.26077963,29.97146239,25.23885312,7.053104813,27.62835964,23.19564358,121.9176923,17.48437097
1960,8,332,19.37169352,29.397128,25.28702764,1.463498242,26.65476028,22.98878303,122.8626501,17.51159292
1960,9,333.8,19.62154595,29.04441296,25.53297222,4.443395475,26.84889113,22.45256913,124.0391159,17.52184182
1960,10,335.8,19.89815456,28.76464233,25.45178278,-1.660626422,27.71740372,22.34325608,124.2043614,17.53287977
1960,11,335.8,20.08043933,28.4397541,25.35436358,-1.301150892,27.74393213,21.65195375,124.6461797,17.57124318
1960,12,331.7,20.0874016,28.01660411,25.33081741,-14.4742214,27.0866554,21.23078598,125.7653703,17.57597617
1961,1,332.6,20.02731094,27.40365835,25.4045013,-2.649160733,26.55344837,21.49215827,126.384879,17.58140487
1961,2,334.2,19.94688612,27.2689529,25.36256753,-0.884422953,27.49824961,21.54691165,126.9318681,17.60192401
1961,3,338.1,19.81280217,27.55139728,25.46588604,-4.110416908,28.31331129,21.93492854,127.0651168,17.61092507
1961,4,338.1,19.65703723,28.28661209,25.57529663,1.82571944,27.66382194,21.95620989,127.288663,17.62560414
1961,5,340.4,19.64999681,28.73266505,25.54280828,2.596473523,27.22199419,21.90606232,127.6369835,17.64406973
1961,6,341.3,19.59497675,28.88572048,25.67313171,0.95380672,27.41017185,21.83472125,128.6245638,17.65295423
1961,7,341.1,19.57818959,28.67069317,26.47851814,4.773317152,27.51192661,25.74293915,129.2732854,17.67124036
1961,8,342.6,19.65439219,28.84062383,27.02942675,7.8335182,27.18714511,21.89711672,130.768412,17.68311063
1961,9,344.9,19.76241665,29.32069013,27.53689112,7.361163944,27.00593681,22.33795118,131.6561282,17.70701285
1961,10,347,19.64683775,30.13107251,27.89967237,4.505529577,28.70252157,23.4332936,132.7835654,17.72461539
1961,11,350.4,19.64345572,30.69523402,27.97804766,9.6213291,28.24208321,23.7552889,134.4336746,17.74445698
1961,12,352.9,19.60572328,31.05769222,27.93337957,3.861140711,27.91338945,24.42141926,135.2870865,17.76592319
1962,1,353.7,19.88016533,31.18067749,28.53794891,9.473777331,27.46645269,24.22074024,137.2224202,17.80615184
1962,2,354.5,19.92440271,31.36685478,28.44811746,9.309923526,29.01077416,24.25979602,137.6581699,17.84527592
1962,3,357.9,20.28542262,31.65547115,28.51971074,9.440298346,28.31478238,24.46146576,138.4194953,17.85917703
1962,4,359.6,20.5297446,32.02166364,28.90946368,2.31340221,30.48883816,24.97663624,138.246554,17.86176851
1962,5,362.5,20.84579215,32.22022412,29.68712534,8.538022319,30.48363319,25.55906763,139.0467714,17.86421938
1962,6,360.9,21.1084555,32.34911278,29.52268938,5.480575829,31.07951026,24.11630171,139.8874648,17.87225855
1962,7,361.9,21.28980146,32.31482663,29.20764042,4.422989558,29.07640004,23.52331625,141.6604831,17.87260044
1962,8,363.4,21.49693904,32.36803626,29.25634636,5.694857494,28.1982328,23.75134729,142.9020932,17.89116569
1962,9,369.3,21.27824991,32.28013897,29.48677908,8.446153036,29.57537682,28.05834464,143.5306527,17.9450693
1962,10,367.1,21.34607245,32.2141652,29.09243484,6.110382261,27.0178437,23.59135469,144.4375563,17.92715324
1962,11,372.2,20.97834883,32.28117262,29.12552801,1.133104617,28.60810404,27.06300167,144.2193622,17.93961436
1962,12,374.1,20.37558866,32.41666601,29.44222436,2.848513351,29.46604887,25.99564552,143.9399088,17.94761656
1963,1,374.9,20.5730859,32.6641692,29.92343892,5.966538217,22.94723352,17.011691,145.1419504,17.99749849
1963,2,373.8,20.13976031,32.90445209,30.12757915,8.101984789,32.50834853,29.79850203,144.02258,18.02518131
1963,3,375.4,19.98617113,33.04738004,30.77091815,6.535475348,31.74842619,28.74480954,144.011336,18.02813142
1963,4,376.8,21.00271661,33.16895171,31.68274592,2.914158501,32.65270938,26.06669581,143.4469199,18.03489442
1963,5,377.6,21.77079128,33.41366965,32.64566228,5.948678207,32.78314354,25.61028591,144.538925,18.04839479
1963,6,382.1,20.92547064,33.8183827,32.68859635,5.645163424,31.83312519,25.99302408,146.4243313,18.05718393
1963,7,384.9,21.26937314,34.37928543,32.4647232,5.085714738,30.55184137,26.150294,149.4528173,18.05043028
1963,8,386.7,21.45859132,34.92965341,32.46615158,5.535767673,30.46165871,27.79918811,150.2716771,18.06549841
1963,9,385.9,21.58009865,35.37306258,32.81812754,6.52651781,30.84351624,26.1625252,152.065479,18.09231045
1963,10,386.5,22.95246832,35.85694786,33.70063452,9.080644639,31.29158865,26.35739929,151.3916719,18.17224246
1963,11,389.9,22.01717867,36.24843655,34.18578264,5.171255598,31.88940051,26.45715014,151.7216011,18.22305093
1963,12,395.2,20.70308954,36.60861587,33.67553857,0.940099712,33.3800084,27.47745631,152.0619507,18.25169729
1964,1,397.3,23.00518303,36.92152764,35.33407874,6.402510955,33.78197217,25.71764343,152.8176053,18.26321773
1964,2,400.7,22.29948768,37.15651592,34.84834467,4.334865185,34.37021253,26.91563709,153.2810873,18.27536762
1964,3,402.4,21.97058912,37.35995688,36.67160399,4.634623986,34.57081218,28.30072036,153.7770489,18.2837106
1964,4,403.4,23.0750014,37.57735148,35.14370369,5.851991955,34.87108727,27.98953145,154.5637972,18.3016141
1964,5,409,23.25430315,37.89890066,34.10604764,3.480472618,34.83024307,27.88441946,154.7083171,18.31234488
1964,6,411.9,24.02063647,38.34375034,33.83326846,4.035535845,34.68666483,27.30405476,155.9681467,18.34008276
1964,7,415.5,24.47794572,38.93969862,34.13661929,0.5720307,34.66495808,28.57433777,156.4462512,18.36704279
